match_id,round,home_uid,home,away_uid,away,res_home,res_away,p1_home,p1_away,ft_home,ft_away
1387287299,21,276512,Newcastle,276510,Manchester Kék,,,,,,
1387287296,21,276501,Everton,276502,Vörös Ördögök,,,,,,
1387287294,21,276509,Crystal Palace,276508,Chelsea,,,,,,
1387287292,21,276507,Liverpool,276515,West Ham,,,,,,
1387287293,21,276506,Brentford,276511,Brighton,,,,,,
1387287297,21,276503,Fulham,276504,Aston Oroszlán,,,,,,
1387287295,21,276505,Tottenham,276513,London Ágyúk,,,,,,
1387287298,21,276514,Wolverhampton,276516,Nottingham,,,,,,
1387287306,22,276516,Nottingham,276501,Everton,,,,,,
1387287302,22,276515,West Ham,276505,Tottenham,,,,,,
1387287305,22,276511,Brighton,276503,Fulham,,,,,,
1387287301,22,276510,Manchester Kék,276506,Brentford,,,,,,
1387287304,22,276502,Vörös Ördögök,276512,Newcastle,,,,,,
1387287300,22,276508,Chelsea,276504,Aston Oroszlán,1,0,,,,
1387287307,22,276513,London Ágyúk,276514,Wolverhampton,,,,,,
1387287303,22,276509,Crystal Palace,276507,Liverpool,0,1,,,,
